date,Volume,Open,High,Low,Close,ATR,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot,Worth,CC
2020-11-22 20:00:00,32103857.81,573.15,575.51,561.21,567.29,9.623509076607103,False,False,False,False,False,2.0,567.29,1.0,509.68,561.4580522961148,-0.010224199598708905
2020-11-22 21:00:00,19001314.39,567.29,575.31,564.22,573.4,9.696833622776744,False,False,False,False,False,1.0,573.4,6.0,509.68,567.5052392719635,0.010770505385252704
2020-11-22 22:00:00,26104232.78,573.4,581.05,569.97,573.91,9.765991941637903,False,False,False,False,False,1.0,573.91,6.0,509.68,568.0099962863143,0.0008894314614580345
2020-11-22 23:00:00,47065525.46,573.91,574.1,555.7,560.01,10.197692344556007,False,False,False,False,False,2.0,560.01,1.0,509.68,554.2528933461673,-0.02421982540816503
2020-11-23 00:00:00,30025735.19,560.01,568.69,550.49,552.61,10.59780772732821,False,False,False,False,False,2.0,552.61,1.0,509.68,546.928968039902,-0.013214049749111556
2020-11-23 01:00:00,23420902.36,552.61,562.89,550.31,560.35,10.696917340961802,False,False,False,False,False,1.0,560.35,6.0,509.68,554.5893980224012,0.014006261196865877
2020-11-23 02:00:00,22702925.31,560.73,561.33,558.96,560.42,10.280571473913712,False,False,False,False,False,1.0,560.42,6.0,509.68,554.6586783969199,0.00012492192379753853
2020-11-23 03:00:00,56456664.72,560.42,576.56,564.61,574.35,10.573542900218026,False,False,False,False,False,1.0,574.35,6.0,509.68,568.4454729261464,0.024856357731701362
2020-11-23 04:00:00,46174707.72,574.06,586.52,573.19,582.1,10.71136575520712,False,False,False,False,False,1.0,582.1,6.0,509.68,576.1158001050053,0.013493514407591167
2020-11-23 05:00:00,19502592.55,582.1,584.31,577.62,580.97,10.510297467446762,False,False,False,False,False,1.0,582.1,5.0,509.68,574.9974169163459,-0.001941247208383401
2020-11-23 06:00:00,42246887.96,581.29,587.93,579.78,586.45,10.392282594074423,False,False,False,False,False,1.0,586.45,6.0,509.68,580.4210805215262,0.009432500817598166
2020-11-23 07:00:00,32918475.13,586.45,584.47,579.67,581.15,10.211668464370707,False,False,False,False,False,2.0,581.15,1.0,509.68,575.1755664508225,-0.009037428595788377
2020-11-23 08:00:00,41662421.57,581.15,586.42,582.33,582.52,9.964585041152171,False,False,False,False,False,2.0,581.15,3.0,509.68,576.5314823521176,0.002357394820614367
2020-11-23 09:00:00,23178048.78,582.58,593.11,581.09,592.0,10.067355789094561,False,False,False,False,False,1.0,592.0,6.0,509.68,585.9140245012251,0.016274119343541837
2020-11-23 10:00:00,52627295.07,592.24,596.29,589.91,595.72,9.882987999639832,False,False,False,False,False,1.0,595.72,6.0,509.68,589.5957815470774,0.006283783783783914
2020-11-23 11:00:00,46387539.47,595.72,592.63,589.66,590.96,9.691838599657844,False,False,False,False,False,2.0,590.96,1.0,509.68,584.8847160798041,-0.00799033102799973
2020-11-23 12:00:00,60060575.18,590.96,595.46,589.13,594.53,9.523746669674955,False,False,False,False,False,1.0,594.53,6.0,509.68,588.418015180259,0.006041018004602661
2020-11-23 13:00:00,59574593.66,594.54,600.32,578.2,599.76,10.153559336191208,False,False,False,False,False,1.0,599.76,6.0,509.68,593.5942488764439,0.008796864750306943
2020-11-23 14:00:00,58881393.27,599.76,606.14,595.27,599.71,10.189381369381648,False,False,False,False,False,1.0,599.76,6.0,509.68,593.5447628946448,-8.336668000530345e-05
2020-11-23 15:00:00,41264633.25,599.71,601.17,586.57,590.56,10.409912300912561,False,False,False,False,False,2.0,590.56,1.0,509.68,584.4888282254112,-0.015257374397625645
2020-11-23 16:00:00,64193661.85,590.56,596.37,588.83,596.37,10.26641668586693,False,False,False,False,False,1.0,596.37,6.0,509.68,590.2390993104656,0.009838119750745111
2020-11-23 17:00:00,60473204.21,596.37,598.44,593.85,597.34,9.982595851573587,False,False,False,False,False,1.0,597.34,6.0,509.68,591.199127357368,0.0016265070342238452
2020-11-23 18:00:00,17966806.94,597.3,597.91,591.77,593.42,9.790466058994907,False,False,False,False,False,2.0,593.42,1.0,509.68,587.3194263843192,-0.006562426758630058
2020-11-23 19:00:00,13018598.22,593.42,598.45,590.44,598.23,9.70144275604516,False,False,False,False,False,1.0,598.23,6.0,509.68,592.0799778333917,0.008105557615179837
2020-11-23 20:00:00,15498179.5,598.23,599.63,593.55,596.61,9.520370618242906,False,False,False,False,False,1.0,598.23,4.0,509.68,590.4766320231012,-0.002707988566270525
2020-11-23 21:00:00,27974009.35,596.61,608.47,593.55,606.07,9.790352087330763,False,False,False,False,False,1.0,606.07,6.0,509.68,599.839379779489,0.015856254504617917
2020-11-23 22:00:00,25807004.64,606.07,610.75,601.0,610.01,9.788334482964226,False,False,False,False,False,1.0,610.01,6.0,509.68,603.7388751452572,0.006500899236061786
2020-11-23 23:00:00,25875583.46,610.01,610.49,602.55,609.13,9.695917758816018,False,False,False,False,False,1.0,610.01,5.0,509.68,602.8679218655933,-0.0014425993016508043
2020-11-24 00:00:00,21347624.05,609.13,612.39,600.95,611.61,9.783121870875213,False,False,False,False,False,1.0,611.61,6.0,509.68,605.3224265628281,0.0040713804934906506
2020-11-24 01:00:00,38276588.16,611.61,620.92,609.91,617.57,9.844465777331452,False,False,False,False,False,1.0,617.57,6.0,509.68,611.2211555932797,0.00974477199522572
2020-11-24 02:00:00,22903618.15,617.57,619.62,612.11,612.39,9.727742488464878,False,False,False,False,False,2.0,612.39,1.0,509.68,606.094407878894,-0.008387713133733876
2020-11-24 03:00:00,26806700.14,612.17,618.08,612.38,614.04,9.526355364041637,False,False,False,False,False,2.0,612.39,3.0,509.68,607.7274452782639,0.0026943614363394985
2020-11-24 04:00:00,29661011.1,614.04,621.56,616.58,618.42,9.426037595839555,False,False,False,False,False,1.0,618.42,6.0,509.68,612.0624172838642,0.007133085792456528
2020-11-24 05:00:00,36165737.38,618.42,614.51,611.76,614.33,9.287735716047575,False,False,False,False,False,2.0,614.33,1.0,509.68,608.0144639726986,-0.006613628278516082
2020-11-24 06:00:00,51526875.02,614.41,614.41,592.19,608.61,9.934348930245191,False,False,False,False,False,2.0,608.61,1.0,509.68,602.3532676548828,-0.009310956651962354
2020-11-24 07:00:00,35231231.4,608.6,610.4,603.6,605.43,9.777631483732929,False,False,False,False,False,2.0,605.43,1.0,509.68,599.2059592124606,-0.005225020949376602
2020-11-24 08:00:00,26736802.44,605.51,622.76,605.49,621.53,10.155249909546285,True,False,False,False,False,1.0,621.53,6.0,621.53,615.1404453517675,0.0265926696727945
2020-11-24 09:00:00,131928012.11,621.67,633.04,608.94,608.94,10.852487414068966,False,False,False,True,False,2.0,608.94,1.0,621.53,601.1129074594064,-0.02025646388750324
2020-11-24 10:00:00,115385629.28,608.94,610.08,598.55,606.86,10.886363043365522,False,False,False,False,False,2.0,606.86,1.0,621.53,601.1129074594064,-0.0034157716688015816
2020-11-24 11:00:00,47787082.18,606.86,612.91,605.28,606.81,10.723544891197246,False,False,False,False,False,2.0,606.81,1.0,621.53,601.1129074594064,-8.239132584131337e-05
2020-11-24 12:00:00,105780600.92,606.81,610.62,593.75,597.58,11.030867646637384,False,False,False,False,False,2.0,597.58,1.0,621.53,601.1129074594064,-0.015210691979367308
2020-11-24 13:00:00,107000284.35,597.58,605.08,590.89,604.7,11.188824264305518,False,False,False,False,False,1.0,604.7,6.0,621.53,601.1129074594064,0.01191472271495031
2020-11-24 14:00:00,48041473.23,604.7,611.46,600.61,601.58,11.171883051090244,False,False,False,False,False,1.0,604.7,2.0,621.53,601.1129074594064,-0.005159583264428669
2020-11-24 15:00:00,39533948.61,601.58,607.3,599.36,607.11,11.010288898535729,False,False,False,False,False,1.0,607.11,6.0,621.53,601.1129074594064,0.009192459855713153
2020-11-24 16:00:00,74554901.87,607.11,611.37,605.0,608.09,10.778274453608942,False,False,False,False,False,1.0,608.09,6.0,621.53,601.1129074594064,0.0016142050040355294
2020-11-24 17:00:00,28618854.63,608.09,608.88,604.85,606.38,10.440860730928494,False,False,False,False,False,1.0,608.09,4.0,621.53,601.1129074594064,-0.002812083737604665
2020-11-24 18:00:00,31782719.58,606.38,608.53,605.64,606.99,10.063317694382068,False,False,False,False,False,1.0,608.09,5.0,621.53,601.1129074594064,0.0010059698538871231
