Date,Volume,Open,High,Low,Close,ATR,CC,ODR,Top,Btm,Buy,Sell,Trend,WM,Band,last_pivot
2015-10-14,971664,0.6122400164604187,0.6122400164604187,0.48397400975227356,0.5229679942131042,0.0990700837661116,-0.1393669041122012,False,False,False,False,False,2.0,0.5229679942131042,1.0,0.5828859806060791
2015-10-15,371022,0.523277997970581,0.5727139711380005,0.5147299766540527,0.5618780255317688,0.0970157793020034,0.07440231859162139,False,False,False,False,False,2.0,0.5229679942131042,1.0,0.5828859806060791
2015-10-16,249891,0.5625929832458496,0.5688610076904297,0.5225329995155334,0.5364949703216553,0.09448139074564804,-0.04517538336917637,False,False,False,False,False,2.0,0.5229679942131042,1.0,0.5828859806060791
2015-10-17,313860,0.5341169834136963,0.5634599924087524,0.5269610285758972,0.5471779704093933,0.0915822694000084,0.019912581997428624,False,False,False,False,False,2.0,0.5229679942131042,1.0,0.5828859806060791
2015-10-18,133690,0.5479130148887634,0.5522339940071106,0.5128610134124756,0.5177339911460876,0.08897180495973972,-0.05381060798422854,False,False,False,False,False,2.0,0.5177339911460876,1.0,0.5828859806060791
2015-10-19,243742,0.5176209807395935,0.5215460062026978,0.48099398612976074,0.48901399970054626,0.08655081571539959,-0.055472485748840006,False,False,False,False,False,2.0,0.48901399970054626,1.0,0.5828859806060791
2015-10-20,383921,0.48962900042533875,0.5018979907035828,0.43164798617362976,0.4348289966583252,0.08573577515612726,-0.11080460493033317,False,False,True,False,False,2.0,0.4348289966583252,1.0,0.4348289966583252
2015-10-21,609085,0.4315890073776245,0.48298799991607666,0.4208970069885254,0.44732901453971863,0.08455353604469847,0.028746974046019114,False,False,False,False,False,2.0,0.4348289966583252,1.0,0.4348289966583252
2015-10-22,924822,0.4449880123138428,0.6194660067558289,0.4209910035133362,0.5677019953727722,0.09024960940458818,0.2690927190513497,False,False,False,False,False,2.0,0.4348289966583252,2.0,0.4348289966583252
2015-10-23,878822,0.5663700103759766,0.6117429733276367,0.5042840242385864,0.5396569967269897,0.09111007638881129,-0.04940091610452624,False,False,False,False,False,2.0,0.4348289966583252,1.0,0.4348289966583252
2015-10-24,258356,0.5396810173988342,0.5773959755897522,0.5186880230903625,0.5635899901390076,0.0894899701943402,0.04434852796715516,False,False,False,False,False,2.0,0.4348289966583252,2.0,0.4348289966583252
2015-10-25,635384,0.5632069706916809,0.6881920099258423,0.5613830089569092,0.616038978099823,0.09135592173306985,0.0930623128133965,False,False,False,False,False,2.0,0.4348289966583252,2.0,0.4348289966583252
2015-10-26,1089120,0.6197429895401001,0.7575169801712036,0.5970979928970337,0.7313169836997986,0.09480907501012485,0.1871277787576875,False,False,False,True,False,2.0,0.4348289966583252,3.0,0.4348289966583252
2015-10-27,1846370,0.7088900208473206,0.8981720209121704,0.7088900208473206,0.8696410059928894,0.0995327212628611,0.18914373025127507,False,False,False,False,False,2.0,0.4348289966583252,4.0,0.4348289966583252
2015-10-28,2373050,0.8709380030632019,1.0557899475097656,0.8078569769859314,1.0024800300598145,0.10695273372590976,0.15275156432539605,False,False,False,False,False,2.0,0.4348289966583252,4.0,0.4348289966583252
2015-10-29,2279240,1.0052499771118164,1.2066600322723389,0.9473739862442017,1.2066600322723389,0.11456939934102113,0.20367488238178844,False,True,False,False,False,1.0,1.2066600322723389,6.0,1.2066600322723389
2015-10-30,2429200,1.2092000246047974,1.3450499773025513,0.9681599736213684,1.04121994972229,0.12768542955802922,-0.13710579461101235,False,False,False,False,False,1.0,1.2066600322723389,6.0,1.2066600322723389
2015-10-31,673892,1.0465799570083618,1.056380033493042,0.9001709818840027,0.9166269898414612,0.12911161066057972,-0.11966055770834949,False,False,False,False,True,1.0,1.2066600322723389,5.0,1.2066600322723389
2015-11-01,588913,0.9208469986915588,1.076740026473999,0.8990820050239563,1.0556700229644775,0.13153893120005286,0.15168987457707872,False,False,False,False,False,1.0,1.2066600322723389,6.0,1.2066600322723389
